model,layout,gap,metric,count,n,rate,low,high
foundry/gpt-5.6-terra,table,8,exact_match,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5.6-terra,table,8,substring_match,40,40,1.0,0.9123783988027135,1.0000000000000002
foundry/gpt-5.6-terra,table,8,target_without_marker,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5.6-terra,table,8,content_exact,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5.6-terra,table,8,delimitation_error,40,40,1.0,0.9123783988027135,1.0000000000000002
foundry/gpt-5.6-terra,table,40,exact_match,5,40,0.125,0.05459500250945401,0.261121198388511
foundry/gpt-5.6-terra,table,40,substring_match,21,40,0.525,0.3749736210669248,0.670645298873211
foundry/gpt-5.6-terra,table,40,target_without_marker,5,40,0.125,0.05459500250945401,0.261121198388511
foundry/gpt-5.6-terra,table,40,content_exact,5,40,0.125,0.05459500250945401,0.261121198388511
foundry/gpt-5.6-terra,table,40,delimitation_error,16,40,0.4,0.2634832568429192,0.5540410633965381
foundry/gpt-5.6-terra,table,96,exact_match,13,40,0.325,0.200845022317827,0.47982253810122333
foundry/gpt-5.6-terra,table,96,substring_match,24,40,0.6,0.44595893660346186,0.7365167431570808
foundry/gpt-5.6-terra,table,96,target_without_marker,13,40,0.325,0.200845022317827,0.47982253810122333
foundry/gpt-5.6-terra,table,96,content_exact,13,40,0.325,0.200845022317827,0.47982253810122333
foundry/gpt-5.6-terra,table,96,delimitation_error,11,40,0.275,0.16108016247667337,0.42834955806210573
